word,COCA-Acad
car,"16,259"
quite,"16,247"
note,"16,217"
assess,"16,198"
view,"16,190"
client,"16,181"
instrument,"16,121"
Congress,16098
relatively,"16,084"
west,"16,045"
claim,"16,031"
meaning,"16,027"
letter,"16,024"
bank,"16,013"
middle,"16,001"
limit,"15,973"
prevent,"15,954"
weight,"15,935"
committee,"15,910"
film,"15,901"
board,"15,882"
series,"15,857"
increase,"15,833"
professor,"15,819"
partner,"15,816"
directly,"15,805"
deal,"15,800"
previous,"15,796"
demand,"15,792"
sex,"15,786"
vision,"15,772"
act,"15,765"
faculty,"15,742"
female,"15,711"
hard,"15,645"
setting,"15,608"
attempt,"15,566"
half,"15,535"
Christian,15517
influence,"15,499"
independent,"15,475"
list,"15,467"
generation,"15,453"
little,"15,427"
solution,"15,396"
direct,"15,254"
public,"15,254"
record,"15,208"
conclusion,"15,194"
democratic,"15,184"
around,"15,182"
exercise,"15,149"
civil,"15,128"
presence,"15,105"
scientific,"15,091"
original,"15,079"
argument,"15,078"
prepare,"15,071"
ethnic,"15,041"
die,"15,041"
version,"15,038"
complex,"15,016"
that,"14,970"
native,"14,942"
active,"14,938"
collection,"14,916"
male,"14,900"
claim,"14,844"
participation,"14,841"
direction,"14,826"
cover,"14,808"
capital,"14,796"
software,"14,774"
Indian,14770
memory,"14,769"
leadership,"14,742"
focus,"14,735"
freedom,"14,734"
entire,"14,727"
blood,"14,717"
final,"14,716"
press,"14,678"
night,"14,670"
army,"14,669"
hospital,"14,667"
contrast,"14,666"
respondent,"14,651"
prove,"14,646"
wide,"14,632"
meeting,"14,623"
picture,"14,622"
failure,"14,596"
open,"14,594"
cause,"14,590"
defense,"14,585"
gas,"14,573"
end,"14,551"
nuclear,"14,546"
justice,"14,536"
internal,"14,532"
council,"14,511"
east,"14,503"
violence,"14,471"
Chinese,14469
moment,"14,460"
threat,"14,421"
journal,"14,411"
regime,"14,408"
evaluation,"14,392"
plan,"14,392"
official,"14,381"
interview,"14,365"
income,"14,315"
past,"14,312"
girl,"14,273"
due,"14,272"
multiple,"14,263"
option,"14,251"
youth,"14,250"
possibility,"14,233"
treat,"14,170"
facility,"14,147"
user,"14,141"
face,"14,136"
discover,"14,126"
achievement,"14,117"
democracy,"14,105"
photograph,"14,104"
emerge,"14,077"
protection,"14,048"
extent,"14,021"
employee,"14,013"
terms,"14,012"
male,"14,008"
mental,"13,983"
district,"13,979"
piece,"13,966"
reading,"13,950"
gain,"13,949"
thought,"13,943"
town,"13,934"
drive,"13,927"
career,"13,919"
stress,"13,916"
explore,"13,872"
eat,"13,868"
consequence,"13,866"
whole,"13,865"
generate,"13,865"
street,"13,864"
spirit,"13,858"
arm,"13,844"
mission,"13,761"
conference,"13,750"
serious,"13,713"
content,"13,707"
device,"13,669"
